Inspection Task ID,Inspection Task,Product ID,Targeted/related Product,Production Task ID,Corresponding Production Task,Frequency ID,Frequency,Tool ID,Tool,Person ID,Person,Production Phase,Phase ID
11,quantity check for welding consumables and electrodes,15,filler rod,6,welding consumables & electrodes,5,each batch,8,inventory checklist,0,,structure,1
11,quantity check for welding consumables and electrodes,16,metal pencil for butt weld and fillet weld,6,welding consumables & electrodes,5,each batch,8,inventory checklist,0,,structure,1
12,material certificate check for welding consumables and electrodes,12,welding rod,6,welding consumables & electrodes,5,each batch,2,mill certificate,0,,structure,1
12,material certificate check for welding consumables and electrodes,13,electrode,6,welding consumables & electrodes,5,each batch,2,mill certificate,0,,structure,1
12,material certificate check for welding consumables and electrodes,14,welding electrode,6,welding consumables & electrodes,5,each batch,2,mill certificate,0,,structure,1
12,material certificate check for welding consumables and electrodes,15,filler rod,6,welding consumables & electrodes,5,each batch,2,mill certificate,0,,structure,1
12,material certificate check for welding consumables and electrodes,16,metal pencil for butt weld and fillet weld,6,welding consumables & electrodes,5,each batch,2,mill certificate,0,,structure,1
13,dimension check for acceptance check of welded frame,17,2d frame,7,acceptance check of welded frame,2,routine,9,laser equipment,0,,structure,1
14,alignment check for acceptance check of welded frame,17,2d frame,7,acceptance check of welded frame,2,routine,9,laser equipment,0,,structure,1
15,absence of distortion check for acceptance check of welded frame,17,2d frame,7,acceptance check of welded frame,2,routine,9,laser equipment,0,,structure,1
16,magnetic particle inspection for 2d frame assembly,17,2d frame,8,routine testing,2,routine,5,magnetizing equipment,1,lab testers,structure,1
17,ultrasonic testing for 2d frame assembly,17,2d frame,8,routine testing,2,routine,6,ultrasonic device,1,lab testers,structure,1
18,thickness test for corrosion protection coating application for 2d frame assembly,17,2d frame,9,corrosion protection coating application,2,routine,7,coating thickness gauge,0,,structure,1
19,pre delivery check for 2d frame assembly,17,2d frame,10,packaging protection (2d),3,100%,3,tape measure,0,,structure,1
19,pre delivery check for 2d frame assembly,17,2d frame,10,packaging protection (2d),3,100%,10,torque wrench,0,,structure,1
20,"cladding sub frame alignment check for 3d assembly including (welding work for bondek, shear stud, bracket, wall & ceiling sheet)",18,3d steel frame,11,"3d assembly including (welding work for bondek, shear stud, bracket, wall & ceiling sheet)",0,,9,laser equipment,0,,structure,1
21,"dimension check for 3d assembly including (welding work for bondek, shear stud, bracket, wall & ceiling sheet)",18,3d steel frame,11,"3d assembly including (welding work for bondek, shear stud, bracket, wall & ceiling sheet)",2,routine,3,tape measure,3,authorized persons,structure,1
22,"visual inspection for 3d assembly including (welding work for bondek, shear stud, bracket, wall & ceiling sheet)",18,3d steel frame,11,"3d assembly including (welding work for bondek, shear stud, bracket, wall & ceiling sheet)",3,100%,4,N/A,0,,structure,1
23,"magnetic particle inspection for 3d assembly including (welding work for bondek, shear stud, bracket, wall & ceiling sheet)",18,3d steel frame,11,"3d assembly including (welding work for bondek, shear stud, bracket, wall & ceiling sheet)",3,100%,5,magnetizing equipment,0,,structure,1
24,"ultrasonic testing for 3d assembly including (welding work for bondek, shear stud, bracket, wall & ceiling sheet)",18,3d steel frame,11,"3d assembly including (welding work for bondek, shear stud, bracket, wall & ceiling sheet)",3,100%,6,ultrasonic device,0,,structure,1
25,shear stud bend test,10,shear stud,11,"3d assembly including (welding work for bondek, shear stud, bracket, wall & ceiling sheet)",7,5%,11,bend testing machine,0,,structure,1
26,shear stud weld test,10,shear stud,11,"3d assembly including (welding work for bondek, shear stud, bracket, wall & ceiling sheet)",7,5%,12,tensile testing machine,0,,structure,1
27,water test,19,chassis enclosure,11,"3d assembly including (welding work for bondek, shear stud, bracket, wall & ceiling sheet)",3,100%,13,hydrostatic testing equipment,3,authorized persons,structure,1
28,visual inspection for touch-up galvanized paint,18,3d steel frame,12,touch-up galvanized paint (zinc rich primer),2,routine,4,N/A,0,,structure,1
29,thickness check for fire paint at strucutral member,18,3d steel frame,13,apply fire paint at strucutral member,2,routine,7,coating thickness gauge,3,authorized persons,structure,1
29,thickness check for fire paint at strucutral member,18,3d steel frame,13,apply fire paint at strucutral member,2,routine,7,coating thickness gauge,2,registered structural engineers,structure,1
13,dimension check for acceptance check of welded frame,18,3d steel frame,7,acceptance check of welded frame,2,routine,9,laser equipment,0,,structure,1
14,alignment check for acceptance check of welded frame,18,3d steel frame,7,acceptance check of welded frame,2,routine,9,laser equipment,0,,structure,1
15,absence of distortion check for acceptance check of welded frame,18,3d steel frame,7,acceptance check of welded frame,2,routine,9,laser equipment,0,,structure,1
30,"setting out for acceptance check of bracket for cladding, architecture fins",20,architecture fins,14,"acceptance check of bracket for cladding, architecture fins",2,routine,3,tape measure,0,,structure,1
30,"setting out for acceptance check of bracket for cladding, architecture fins",21,bracket for cladding,14,"acceptance check of bracket for cladding, architecture fins",2,routine,3,tape measure,0,,structure,1
31,"dimension check for acceptance check of bracket for cladding, architecture fins",20,architecture fins,14,"acceptance check of bracket for cladding, architecture fins",2,routine,3,tape measure,0,,structure,1
31,"dimension check for acceptance check of bracket for cladding, architecture fins",21,bracket for cladding,14,"acceptance check of bracket for cladding, architecture fins",2,routine,3,tape measure,0,,structure,1
32,thickness test for corrosion protection coating application for 3d frame assembly,18,3d steel frame,9,corrosion protection coating application,2,routine,7,coating thickness gauge,0,,structure,1
33,thickness test for application of fire print for 3d frame assembly,18,3d steel frame,15,application of fire print,2,routine,7,coating thickness gauge,0,,structure,1
34,visual inspection for rebar fixing and pouring concrete,1,rebar/reinforcement bar,16,rebar fixing and pouring concrete,3,100%,4,N/A,0,,structure,1
34,visual inspection for rebar fixing and pouring concrete,22,rebar spacer,16,rebar fixing and pouring concrete,3,100%,4,N/A,0,,structure,1
34,visual inspection for rebar fixing and pouring concrete,23,rebar support chair,16,rebar fixing and pouring concrete,3,100%,4,N/A,0,,structure,1
34,visual inspection for rebar fixing and pouring concrete,24,rebar tie wire,16,rebar fixing and pouring concrete,3,100%,4,N/A,0,,structure,1
34,visual inspection for rebar fixing and pouring concrete,25,concrete,16,rebar fixing and pouring concrete,3,100%,4,N/A,0,,structure,1
35,rebar cleaning for rebar fixing,1,rebar/reinforcement bar,16,rebar fixing and pouring concrete,3,100%,4,N/A,0,,structure,1
36,test of rebar material(class 2 rebar),1,rebar/reinforcement bar,17,rebar test,5,each batch,12,tensile testing machine,1,lab testers,structure,1
36,test of rebar material(class 2 rebar),1,rebar/reinforcement bar,17,rebar test,5,each batch,11,bend testing machine,1,lab testers,structure,1
37,slump test,25,concrete,18,concrete test,8,every truck,14,slump test equipment,1,lab testers,structure,1
38,150mm cube test (28-day),25,concrete,18,concrete test,9,each batch / every 25m?,15,compression testing machine,1,lab testers,structure,1
39,weld test for shear stud installation,10,shear stud,19,shear stud installation,3,100%,12,tensile testing machine,0,,structure,1
40,visual inspection for shear stud installation,10,shear stud,19,shear stud installation,3,100%,4,N/A,0,,structure,1
41,visual inspection for concrete curing,25,concrete,20,concrete curing,2,routine,4,N/A,0,,structure,1
42,setting out for door and window frame installation,26,door frame,21,door and window frame installation,2,routine,3,tape measure,0,,door/window,2
42,setting out for door and window frame installation,27,window frame,21,door and window frame installation,2,routine,3,tape measure,0,,door/window,2
43,dimension check for door and window frame installation,27,window frame,21,door and window frame installation,2,routine,3,tape measure,0,,door/window,2
44,dimension check for the material control of door installation,26,door frame,22,door frames,5,each batch,3,tape measure,0,,door/window,2
45,brand name check for the material control of door installation,26,door frame,22,door frames,5,each batch,16,bill of materials,0,,door/window,2
46,visual surface check for the material control of door installation,26,door frame,22,door frames,5,each batch,4,N/A,0,,door/window,2
46,visual surface check for the material control of door installation,28,hardwood solid core flush door,23,hardwood solid core flush doors,5,each batch,4,N/A,0,,door/window,2
44,dimension check for the material control of door installation,28,hardwood solid core flush door,23,hardwood solid core flush doors,5,each batch,3,tape measure,0,,door/window,2
47,thickness check for the material control of door installation,28,hardwood solid core flush door,23,hardwood solid core flush doors,5,each batch,3,tape measure,0,,door/window,2
46,visual surface check for the material control of door installation,29,timber door,23,hardwood solid core flush doors,5,each batch,4,N/A,0,,door/window,2
44,dimension check for the material control of door installation,29,timber door,23,hardwood solid core flush doors,5,each batch,3,tape measure,0,,door/window,2
47,thickness check for the material control of door installation,29,timber door,23,hardwood solid core flush doors,5,each batch,3,tape measure,0,,door/window,2
46,visual surface check for the material control of door installation,30,non-frp timber door,23,hardwood solid core flush doors,5,each batch,4,N/A,0,,door/window,2
44,dimension check for the material control of door installation,30,non-frp timber door,23,hardwood solid core flush doors,5,each batch,3,tape measure,0,,door/window,2
47,thickness check for the material control of door installation,30,non-frp timber door,23,hardwood solid core flush doors,5,each batch,3,tape measure,0,,door/window,2
46,visual surface check for the material control of door installation,31,frp timber door,23,hardwood solid core flush doors,5,each batch,4,N/A,0,,door/window,2
44,dimension check for the material control of door installation,31,frp timber door,23,hardwood solid core flush doors,5,each batch,3,tape measure,0,,door/window,2
47,thickness check for the material control of door installation,31,frp timber door,23,hardwood solid core flush doors,5,each batch,3,tape measure,0,,door/window,2
48,setting out for door installation,32,door,24,"setting out, establish floor level, and alignment",10,20%,3,tape measure,0,,door/window,2
49,establish floor level,33,floor,24,"setting out, establish floor level, and alignment",10,20%,3,tape measure,0,,door/window,2
49,establish floor level,33,floor,24,"setting out, establish floor level, and alignment",10,20%,17,level,0,,door/window,2
49,establish floor level,33,floor,24,"setting out, establish floor level, and alignment",10,20%,18,square,0,,door/window,2
50,visual inspection for door frame fixing,26,door frame,25,fix door frame,10,20%,4,N/A,0,,door/window,2
51,visual inspection for door panel fixing,34,door panel,26,fixing door panel,10,20%,4,N/A,4,qc inspector (factory),door/window,2
52,proper installation check for door panel fixing,34,door panel,26,fixing door panel,10,20%,17,level,4,qc inspector (factory),door/window,2
53,gap alignment check for door panel fixing,34,door panel,26,fixing door panel,10,20%,3,tape measure,4,qc inspector (factory),door/window,2
54,review sample for installation of hinges,35,hinge,27,installation?of?hinges,10,20%,4,N/A,4,qc inspector (factory),door/window,2
55,visual inspection for installation of hinges,35,hinge,27,installation?of?hinges,10,20%,4,N/A,4,qc inspector (factory),door/window,2
56,verify compliance for installation of hinges,35,hinge,27,installation?of?hinges,10,20%,3,tape measure,4,qc inspector (factory),door/window,2
57,review sample for installation?of?overhead door closer,36,overhead door closer,28,installation?of?overhead door closer,10,20%,3,tape measure,0,,door/window,2
58,visual inspection for installation?of?overhead door closer,36,overhead door closer,28,installation?of?overhead door closer,10,20%,4,N/A,0,,door/window,2
59,verify compliance for installation?of?overhead door closer,36,overhead door closer,28,installation?of?overhead door closer,10,20%,3,tape measure,0,,door/window,2
60,water spray test for door/window,29,timber door,29,door/window,0,,19,water spray system,0,,door/window,2
60,water spray test for door/window,30,non-frp timber door,29,door/window,0,,19,water spray system,0,,door/window,2
60,water spray test for door/window,31,frp timber door,29,door/window,0,,19,water spray system,0,,door/window,2
60,water spray test for door/window,37,hardwood solid core flush doors,29,door/window,0,,19,water spray system,0,,door/window,2
60,water spray test for door/window,38,aluminium window,29,door/window,0,,19,water spray system,0,,door/window,2
61,electrical continuity test for door/window,29,timber door,29,door/window,0,,20,multimeter,0,,door/window,2
61,electrical continuity test for door/window,30,non-frp timber door,29,door/window,0,,20,multimeter,0,,door/window,2
61,electrical continuity test for door/window,31,frp timber door,29,door/window,0,,20,multimeter,0,,door/window,2
61,electrical continuity test for door/window,37,hardwood solid core flush doors,29,door/window,0,,20,multimeter,0,,door/window,2
61,electrical continuity test for door/window,38,aluminium window,29,door/window,0,,20,multimeter,0,,door/window,2
62,review sample for aluminum extruded section include ironmongery,39,handle,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,4,N/A,0,,door/window,2
62,review sample for aluminum extruded section include ironmongery,35,hinge,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,4,N/A,0,,door/window,2
62,review sample for aluminum extruded section include ironmongery,40,latch,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,4,N/A,0,,door/window,2
62,review sample for aluminum extruded section include ironmongery,41,door ironmongery,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,4,N/A,0,,door/window,2
62,review sample for aluminum extruded section include ironmongery,42,locks,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,4,N/A,0,,door/window,2
62,review sample for aluminum extruded section include ironmongery,43,door slides,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,4,N/A,0,,door/window,2
62,review sample for aluminum extruded section include ironmongery,44,drawer slides,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,4,N/A,0,,door/window,2
63,brand name check for aluminum extruded section include ironmongery,35,hinge,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,16,bill of materials,0,,door/window,2
63,brand name check for aluminum extruded section include ironmongery,39,handle,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,16,bill of materials,0,,door/window,2
63,brand name check for aluminum extruded section include ironmongery,40,latch,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,16,bill of materials,0,,door/window,2
63,brand name check for aluminum extruded section include ironmongery,41,door ironmongery,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,16,bill of materials,0,,door/window,2
63,brand name check for aluminum extruded section include ironmongery,42,locks,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,16,bill of materials,0,,door/window,2
63,brand name check for aluminum extruded section include ironmongery,43,door slides,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,16,bill of materials,0,,door/window,2
63,brand name check for aluminum extruded section include ironmongery,44,drawer slides,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,16,bill of materials,0,,door/window,2
64,visual inspection for  aluminum extruded section include ironmongery,39,handle,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,4,N/A,0,,door/window,2
64,visual inspection for  aluminum extruded section include ironmongery,35,hinge,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,4,N/A,0,,door/window,2
64,visual inspection for  aluminum extruded section include ironmongery,40,latch,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,4,N/A,0,,door/window,2
64,visual inspection for  aluminum extruded section include ironmongery,41,door ironmongery,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,4,N/A,0,,door/window,2
64,visual inspection for  aluminum extruded section include ironmongery,42,locks,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,4,N/A,0,,door/window,2
64,visual inspection for  aluminum extruded section include ironmongery,43,door slides,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,4,N/A,0,,door/window,2
64,visual inspection for  aluminum extruded section include ironmongery,44,drawer slides,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,4,N/A,0,,door/window,2
65,measure dimension  for aluminum extruded section include ironmongery,39,handle,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,3,tape measure,0,,door/window,2
65,measure dimension  for aluminum extruded section include ironmongery,35,hinge,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,3,tape measure,0,,door/window,2
65,measure dimension  for aluminum extruded section include ironmongery,40,latch,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,3,tape measure,0,,door/window,2
65,measure dimension  for aluminum extruded section include ironmongery,41,door ironmongery,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,3,tape measure,0,,door/window,2
65,measure dimension  for aluminum extruded section include ironmongery,42,locks,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,3,tape measure,0,,door/window,2
65,measure dimension  for aluminum extruded section include ironmongery,43,door slides,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,3,tape measure,0,,door/window,2
65,measure dimension  for aluminum extruded section include ironmongery,44,drawer slides,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,3,tape measure,0,,door/window,2
66,2mm thickness check for aluminum extruded section include ironmongery,39,handle,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,1,digital vernier scale,0,,door/window,2
66,2mm thickness check for aluminum extruded section include ironmongery,35,hinge,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,1,digital vernier scale,0,,door/window,2
66,2mm thickness check for aluminum extruded section include ironmongery,40,latch,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,1,digital vernier scale,0,,door/window,2
66,2mm thickness check for aluminum extruded section include ironmongery,41,door ironmongery,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,1,digital vernier scale,0,,door/window,2
66,2mm thickness check for aluminum extruded section include ironmongery,42,locks,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,1,digital vernier scale,0,,door/window,2
66,2mm thickness check for aluminum extruded section include ironmongery,43,door slides,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,1,digital vernier scale,0,,door/window,2
66,2mm thickness check for aluminum extruded section include ironmongery,44,drawer slides,30,"aluminum extruded section include ironmongery (hinge, handle and latches)",5,each batch,1,digital vernier scale,0,,door/window,2
67,review sample for glass,45,glass panel,31,glass,5,each batch,4,N/A,0,,door/window,2
68,visual inspection for glass,45,glass panel,31,glass,5,each batch,4,N/A,0,,door/window,2
69,measure dimension for glass,45,glass panel,31,glass,5,each batch,3,tape measure,0,,door/window,2
70,thickness check for glass,45,glass panel,31,glass,5,each batch,1,digital vernier scale,0,,door/window,2
71,"visual inspection for setting blocks, edge blocks, spacers and shims during window installation",46,spacer,32,"setting blocks, edge blocks, spacers and shims",5,each batch,4,N/A,0,,door/window,2
71,"visual inspection for setting blocks, edge blocks, spacers and shims during window installation",47,setting blocks,32,"setting blocks, edge blocks, spacers and shims",5,each batch,4,N/A,0,,door/window,2
71,"visual inspection for setting blocks, edge blocks, spacers and shims during window installation",48,edge block,32,"setting blocks, edge blocks, spacers and shims",5,each batch,4,N/A,0,,door/window,2
71,"visual inspection for setting blocks, edge blocks, spacers and shims during window installation",49,shim,32,"setting blocks, edge blocks, spacers and shims",5,each batch,4,N/A,0,,door/window,2
72,visual inspection for gaskets and weatherstrips,50,gasket,33,gaskets and weatherstrips,5,each batch,4,N/A,0,,door/window,2
72,visual inspection for gaskets and weatherstrips,51,weatherstrip,33,gaskets and weatherstrips,5,each batch,4,N/A,0,,door/window,2
73,visual inspection for sealants,52,structual sealant,34,sealants,5,each batch,4,N/A,4,qc inspector (factory),door/window,2
73,visual inspection for sealants,53,weather sealants,34,sealants,5,each batch,4,N/A,4,qc inspector (factory),door/window,2
74,brand name check for sealants,52,structual sealant,34,sealants,5,each batch,16,bill of materials,4,qc inspector (factory),door/window,2
74,brand name check for sealants,53,weather sealants,34,sealants,5,each batch,16,bill of materials,4,qc inspector (factory),door/window,2
75,check setting out for window installation,38,aluminium window,35,"setting out, level, and alignment",10,20%,3,tape measure,0,,door/window,2
76,check level for window installation,38,aluminium window,35,"setting out, level, and alignment",10,20%,17,level,0,,door/window,2
77,review sample for window installation,38,aluminium window,36,window installation (glazing had fixed on the window),10,20%,4,N/A,0,,door/window,2
78,visual inspection  for window installation,38,aluminium window,36,window installation (glazing had fixed on the window),10,20%,4,N/A,0,,door/window,2
79,verify compliance for window installation,38,aluminium window,36,window installation (glazing had fixed on the window),10,20%,3,tape measure,0,,door/window,2
80,check proper installation for earthing point setting during window installation,38,aluminium window,37,earthing point setting,4,10%,21,multi-function tester,0,,door/window,2
81,visual inspection for ceiling stud installation at ceiling surface,10,shear stud,38,"ceiling stud, rockwool in-fill and fire board installation at ceiling surface",0,,4,N/A,3,authorized persons,wall,3
81,visual inspection for ceiling stud installation at ceiling surface,54,noggins and braces for reinforced stud support,38,"ceiling stud, rockwool in-fill and fire board installation at ceiling surface",0,,4,N/A,3,authorized persons,wall,3
81,visual inspection for ceiling stud installation at ceiling surface,55,ceiling panel,38,"ceiling stud, rockwool in-fill and fire board installation at ceiling surface",0,,4,N/A,3,authorized persons,wall,3
81,visual inspection for ceiling stud installation at ceiling surface,56,steel ceiling beam,38,"ceiling stud, rockwool in-fill and fire board installation at ceiling surface",0,,4,N/A,3,authorized persons,wall,3
81,visual inspection for ceiling stud installation at ceiling surface,57,track for stud installation,38,"ceiling stud, rockwool in-fill and fire board installation at ceiling surface",0,,4,N/A,3,authorized persons,wall,3
81,visual inspection for ceiling stud installation at ceiling surface,58,channel,38,"ceiling stud, rockwool in-fill and fire board installation at ceiling surface",0,,4,N/A,3,authorized persons,wall,3
81,visual inspection for ceiling stud installation at ceiling surface,59,runners,38,"ceiling stud, rockwool in-fill and fire board installation at ceiling surface",0,,4,N/A,3,authorized persons,wall,3
81,visual inspection for ceiling stud installation at ceiling surface,60,metal skeleton,38,"ceiling stud, rockwool in-fill and fire board installation at ceiling surface",0,,4,N/A,3,authorized persons,wall,3
82,visual inspection for rockwool in-fill at ceiling surface,61,mineral wool insulation,38,"ceiling stud, rockwool in-fill and fire board installation at ceiling surface",0,,4,N/A,3,authorized persons,wall,3
82,visual inspection for rockwool in-fill at ceiling surface,62,rockwool,38,"ceiling stud, rockwool in-fill and fire board installation at ceiling surface",0,,4,N/A,3,authorized persons,wall,3
83,visual inspection for fire board installation at ceiling surface,3,promatect hboard,38,"ceiling stud, rockwool in-fill and fire board installation at ceiling surface",0,,4,N/A,3,authorized persons,wall,3
83,visual inspection for fire board installation at ceiling surface,63,gemtree board,38,"ceiling stud, rockwool in-fill and fire board installation at ceiling surface",0,,4,N/A,3,authorized persons,wall,3
83,visual inspection for fire board installation at ceiling surface,5,gemtree frp board,38,"ceiling stud, rockwool in-fill and fire board installation at ceiling surface",0,,4,N/A,3,authorized persons,wall,3
84,visual inspection for wall stud installation,10,shear stud,39,"fire board, wall stud installation",0,,4,N/A,3,authorized persons,wall,3
84,visual inspection for wall stud installation,54,noggins and braces for reinforced stud support,39,"fire board, wall stud installation",0,,4,N/A,3,authorized persons,wall,3
84,visual inspection for wall stud installation,64,wall panel,39,"fire board, wall stud installation",0,,4,N/A,3,authorized persons,wall,3
84,visual inspection for wall stud installation,65,wall tiles,39,"fire board, wall stud installation",0,,4,N/A,3,authorized persons,wall,3
84,visual inspection for wall stud installation,57,track for stud installation,39,"fire board, wall stud installation",0,,4,N/A,3,authorized persons,wall,3
84,visual inspection for wall stud installation,58,channel,39,"fire board, wall stud installation",0,,4,N/A,3,authorized persons,wall,3
84,visual inspection for wall stud installation,59,runners,39,"fire board, wall stud installation",0,,4,N/A,3,authorized persons,wall,3
84,visual inspection for wall stud installation,66,wall system contains wall panel,39,"fire board, wall stud installation",0,,4,N/A,3,authorized persons,wall,3
84,visual inspection for wall stud installation,60,metal skeleton,39,"fire board, wall stud installation",0,,4,N/A,3,authorized persons,wall,3
85,visual inspection for fire board installation at wall,3,promatect hboard,39,"fire board, wall stud installation",0,,4,N/A,3,authorized persons,wall,3
85,visual inspection for fire board installation at wall,63,gemtree board,39,"fire board, wall stud installation",0,,4,N/A,3,authorized persons,wall,3
85,visual inspection for fire board installation at wall,5,gemtree frp board,39,"fire board, wall stud installation",0,,4,N/A,3,authorized persons,wall,3
86,visual inspection for rockwool in-fill at wall surface,61,mineral wool insulation,40,rockwool in-fill at wall surface,0,,4,N/A,3,authorized persons,wall,3
86,visual inspection for rockwool in-fill at wall surface,62,rockwool,40,rockwool in-fill at wall surface,0,,4,N/A,3,authorized persons,wall,3
87,visual inspection for installation of mep conduit at wall surface,67,conduit,41,installation of mep conduit inside hostel room at wall surface,2,routine,4,N/A,0,,wall,3
87,visual inspection for installation of mep conduit at wall surface,68,conduits and accessories,41,installation of mep conduit inside hostel room at wall surface,2,routine,4,N/A,0,,wall,3
87,visual inspection for installation of mep conduit at wall surface,69,flexible conduit belongs-to mep system,41,installation of mep conduit inside hostel room at wall surface,2,routine,4,N/A,0,,wall,3
